doi_url,title,author,journal_name,publication_year,primary_sources,secondary_sources,geographic_location,language,dialect,data_deposited,data_deposit_doi_url,data_repository_format,funding_source
https://doi.org/10.1186/s40862-021-00117-2,Epistemological beliefs and conceptions about language teaching and learning: a study of secondary school non-native learners and teachers of Mandarin Chinese in Zambia,Wanjuan Zhong;Gift Muyunda;Jun Cheng,Asian-Pacific Journal of Second and Foreign Language Education,2021,interview,book;scholarly article,zambia,chinese,mandarin,in paper,n/a,n/a,Chongqing Federation of Social Sciences
https://doi.org/10.1186/s40862-021-00116-3,Maltese as a foreign language educators’ acquisition of intercultural capabilities,Jacqueline Żammi,Asian-Pacific Journal of Second and Foreign Language Education,2021,observation;interview;text communication,book;scholarly article,malta,maltese,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1186/s40862-020-00104-z,Impact of teacher-student writing conferences on frequency and accuracy of using cohesive devices in EFL students’ writing,Abdullah Rajab Alfalagg,Asian-Pacific Journal of Second and Foreign Language Education,2020,test,book;scholarly article,yemen,english,n/a,in paper,n/a,n/a,Self funded via Hadhramout University Grant
https://doi.org/10.1186/s40862-021-00126-1,The effect of gender and language proficiency on the metaphor use in the writing of TEFL students,Nazila Fattahi;Musa Nushi,Asian-Pacific Journal of Second and Foreign Language Education,2021,test,book;scholarly article,iran,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1186/s40862-020-00103-0,Comparative study of the effect of face-to-face and computer mediated conversation modalities on student engagement: speaking skill in focus,Maryam Bagheri;Zohre Mohamadi Zenouzagh,Asian-Pacific Journal of Second and Foreign Language Education,2021,test;survey,book;scholarly article,iran,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1186/s40862-020-00099-7,"Textbook-assigned and self-selected topics of Iranian male EFL learners: topic interest, topic familiarity, topic importance, and topic difficulty",Latifeh Shakourzadeh;Siros Izadpanah,Asian-Pacific Journal of Second and Foreign Language Education,2020,survey,book;scholarly article,iran,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1186/s40862-020-00097-9,Using meta-analysis of technique and timing to optimize corrective feedback for specific grammatical features,Andrew Schenck,Asian-Pacific Journal of Second and Foreign Language Education,2020,test;interview,book;scholarly article;dataset,korea,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1508.26,Enhancing University Students' Arabic Language Skills Through Social Media: A Case Study of TikTok,Dina Antar;Hanan Elsayed,Theory and Practice in Language Studies,2025,survey;interview,scholarly article,united arab emirates,arabic,n/a,in paper,n/a,n/a,American University of Ras Al Khaima
https://doi.org/10.17507/tpls.1510.05,Optimizing ESL Learners' Speech Act Performance: The Role of AI-Powered Chatbots in Pragmatic Competence Development,Gohar Rahman;Badri Abdulhakim Mudhsh;Mohammad Almutairi;Marouan Kouki,Theory and Practice in Language Studies,2025,test;survey;interview,book;scholarly article,saudi arabia,various,n/a ,in paper,n/a,n/a,Northern Border University
https://doi.org/10.17507/tpls.1504.17,Challenges & Solutions in Legal Translation Training: Translator Trainees' Perspectives,Nasrin S. Altuwairesh;Najia AbdulKareem AlGhamedi,Theory and Practice in Language Studies,2025,test;field note,book;scholarly article,saudi arabia,english;arabic,n/a,in paper,n/a,n/a,Arab Observatory for Translation
https://doi.org/10.17507/tpls.1507.02,Use of Discourse Markers in Master's Theses of Linguistics at a Peruvian University,Claret Cuba-Raime;Guido Torres-Orihuela;Cecilia Carrasco del Carpio;Nadja Osorio Mendoza,Theory and Practice in Language Studies,2025,scholarly article,book;scholarly article,peru,spanish,n/a,in paper,n/a,n/a,Universidad Nacional de San Agustín de Arequipa
https://doi.org/10.17507/tpls.1506.33,Cognitive Framing in Climate Change Debates: A Discourse Analysis of Media and Policy Texts,Mohammad Awad Al-Dawoody Abdulaal;Ahmad Abdel Tawwab Sharaf Eldin;Marwa Aly Eleleidy;Abdullah Atef Abdullah Ibrahim,Theory and Practice in Language Studies,2025,government record;historical record,book;scholarly article,saudi arabia,english,n/a,in paper,n/a,n/a,Prince Sattam bin Abdulaziz University
https://doi.org/10.17507/tpls.1309.26,Mystical Implicature of Javanese Mantras: From Lingual to Transcendental?,Eko Suroso;Sumarlam;Muhammad Rohmadi;Sumarwati,Theory and Practice in Language Studies,2023,sacred text,book;scholarly article,indonesia,javanese,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1305.25,"Transitivity and Social Context in Balinese
Folklores: A Systemic Functional Perspective",I Gst. Agung Mas Era Yuniari;Ni Wayan Kasni;I Gusti Made Sutjaja,Theory and Practice in Language Studies,2023,interview,book;scholarly article,indonesia,balinese,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1212.16,Structure and Role of Grammatical Subjects in Old Javanese,Ni Ketut Ratna Erawati;I Ketut Ngurah Sulibra,Theory and Practice in Language Studies,2022,book,book;scholarly article,indonesia,javanese,old javanese,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1210.30,"Maritime Lexicon as Language Identity of Coastal Community in Tuban Regency, Indonesia",Ni Wayan Sartini;Salimulloh T. Sanubarianto,Theory and Practice in Language Studies,2022,observation;interview,book;scholarly article,indonesia,javanese,mataraman javanese,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1207.19,Partial EMI Nursing Program: Insights From Students and Teachers in Thailand,Nipapat Pomat;Arnon Jannok;Adcharawan Buripakdi;Jeffrey Dawala Wilang,Theory and Practice in Language Studies,2022,interview;survey,book;scholarly article,thailand,thai;english,n/a,in paper,n/a,n/a,Suranaree University of Technology 
http://dx.doi.org/10.17507/tpls.1008.18,A Study of Written Errors of Iranian Learners: A Systematic Review,Ali Akbar Khansir;Farhad Pakdel,Theory and Practice in Language Studies,2020,scholarly article,book;scholarly article,iran,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1411.01,Linguistic Landscapes of Social Media Discourse: Exploring Language Practices and Identities on Jordanian Online Platforms,Mamoun I Bani Amer,Theory and Practice in Language Studies,2024,social media content,book;scholarly article,jordan,arabic,jordanian arabic,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1411.22,Multisensory Integration in Lexical Processing: Predicting Word Recognition Through Cross- Modal Capability,Mengdie Xu,Theory and Practice in Language Studies,2024,survey,book;scholarly article,china,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1411.28,Masculinity Unveiled: Exploring the Translation of Male Characters in the Twilight Saga Across Cultures,Yopi Thahara;Riyadi Santosa;M.R. Nababan;Dyah Ayu Nila Khrisna,Theory and Practice in Language Studies,2024,book,book;scholarly article,indonesia,english;various,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1412.26,"Vitality of Moi Language: A Case Study of Moi Tribes in Southwest Papua, Indonesia",Ibrahim Ibrahim;Dian Saputra;Rinda Hardianti;Lukman,Theory and Practice in Language Studies,2024,interview;survey,book;scholarly article,indonesia,moi;indonesian,n/a,in paper,n/a,n/a,"Indonesian Ministry of Education;Culture,
Research;and Technology"
https://doi.org/10.17507/tpls.1201.12,Indonesian Language Characteristics of Deaf Children and Implications for Literacy Skills,Nengah Arnawa;Anak Agung Gde Alit Geria;I Gusti Lanang Rai Arsana,Theory and Practice in Language Studies,2022,scholarly article;interview;observation,book;scholarly article,indonesia,indonesian,n/a,in paper,n/a,n/a,Ministry of Education;Culture;Research and Technology of the Republic of Indonesia
https://doi.org/10.17507/tpls.1204.11,An Empirical Study on the Use of Emojis by College Students From the Perspective of Symbolic Interactionism,Yuehua Lu;Jiahao Wu,Theory and Practice in Language Studies,2022,survey,book;scholarly article,china,chinese,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1312.23,The Effect of Teaching Text Structure on Improving Writing Composition Skills and Reducing Writing Anxiety Among Seventh Graders in Jordan,Ra’ed M. Algaragere;Ra’ed M. Algaragere,Theory and Practice in Language Studies,2023,test,book;scholarly article,jordan,arabic,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1309.07,Exploring COVID-19 Arabic Humorous Comments in Social Media: Linguistic Analysis of Facebook Comments Using the General Theory of Verbal Humor,Sulaiman M. Alkaraki;Marlyna Maros;Norhayati Binti Alias,Theory and Practice in Language Studies,2023,social media content,book;scholarly article,jordan,arabic,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/tpls.1310.20,Enhancing Grammar Competency Through WhatsApp: An Experimental Study in Saudi Arabian Education,Saad bin Abdullah bin Ahmad Al-Durayhim,Theory and Practice in Language Studies,2023,test,book;scholarly article,saudi arabia,arabic,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1604.28,An Intertextual and Multimodal Analysis of Jordanian Arabic Advertisements on Facebook,Hanan Hasan El-Kanash;Anwar Rateb Al-Khatib,Journal of Language Teaching and Research,2025,social media content,book;scholarly article,jordan,arabic,jordanian arabic,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1601.26,Ecolexicon of Balinese Medical Plants in Lontar Usada Putih: An Ecolinguistics Study,I Wayan Suardiana;I Made Dwika Hadinata;Rahmat Gaho;Anak Agung Gde Alit Geria;I Made Budiasa,Journal of Language Teaching and Research,2025,historical record;interview,book;scholarly article,indonesia,balinese,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1601.22,Analysis of Japanese Learners' Mother Tongue Interferences in Speaking English Language,I Nyoman Muliana;Julius Faozanolo Sarumaha;Rahmat Gaho,Journal of Language Teaching and Research,2025,observation,book;scholarly article,indonesia,english;japanese,n/a,in paper,n/a,n/a,Warmadewa University 
https://doi.org/10.17507/jltr.1605.24,Can ChatGPT Analyze Textual Data? The Case of Conceptual Metaphors in Short Stories of Language Assessment,Hui Geng;Han Wei;Vahid Nimehchisalem;Ali Sorayyaei Azar,Journal of Language Teaching and Research,2025,book,book;scholarly article,china,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1603.25,The Interplay of Academic Writing Skills and Attitudes Toward Classical Arabic Among Graduate Students,Abdullah Ahmad R Aljenobi,Journal of Language Teaching and Research,2025,test,book;scholarly article,saudi arabia,arabic,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1504.18,The Languages of Men and Women in Indigenous Villages,Ni Wayan Kasni;I. Wayan Budiarta;A. A. Gede Suarjaya,Journal of Language Teaching and Research,2024,interview;recording,book;scholarly article,indonesia,balinese,n/a,in paper,n/a,n/a,Warmadewa University 
https://doi.org/10.17507/jltr.1504.25,Code Mixing Phenomena in Vietnam Online Newspapers,Le Thi Thuy Vinh,Journal of Language Teaching and Research,2024,historical record,book;scholarly article,vietnam,vietnamese,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1502.18,Heritage Language Maintenance Among Immigrant Youth: Factors Influencing Proficiency and Identity,Mona A. Alshihry,Journal of Language Teaching and Research,2024,survey;interview,book;scholarly article,saudi arabia,various,n/a,in paper,n/a,n/a,King Khalid University
https://doi.org/10.17507/jltr.1406.13,A Morphological Analysis of Word Formation Processes in English Posters on Instagram,Ventje Jany Kalukar;Nur Erliza;Masrur Yahya,Journal of Language Teaching and Research,2024,social media content,book;scholarly article,indonesia,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1403.06,Insertion Function in Code-Mixing Use on WhatsApp Group Chats Among University Students,Sebastianus Menggo;Putu Dewi Merlyna Yuda Pramest;Ni Wayan Krismayani,Journal of Language Teaching and Research,2024,interview;recording;text communication,book;scholarly article,indonesia,indonesian;english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1405.15,Employers' Perspectives of English-Major Students' Weaknesses During Their Industrial Practicum,Phuong Hoang Yen;Le Thanh Thao;Ho Phuong Thuy;Do Thanh Nhan;Pham Trut Thuy,Journal of Language Teaching and Research,2023,interview,book;scholarly article,vietnam,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.17507/jltr.1305.08,The Linguistic Landscape and Prospects of a Seaside Destination in the East of Thailand,Piyada Low,Journal of Language Teaching and Research,2022,photograph,book;scholarly article,thailand,thai;english,n/a,in paper,n/a,n/a,n/a
http://dx.doi.org/10.17507/jltr.1201.12,The Meaning-shift Unit of Chinese Intensifiers: A Corpus-based Study·,Guobing Liu;Xiaolian Zhang,Journal of Language Teaching and Research,2021,dataset,book;scholarly article,china,chinese,n/a,in paper,n/a,n/a,n/a
http://dx.doi.org/10.17507/jltr.1204.09,Power-oriented and Rapport-oriented Interruptions Among Professional Women in Small Group Conversations,Angelina Subrayan;Chittra Muthusamy,Journal of Language Teaching and Research,2021,observation;recording,book;scholarly article,malaysia,malay,n/a,in paper,n/a,n/a,n/a
http://dx.doi.org/10.17507/jltr.1103.22,The Impact of Linguistic and Cultural Competence on Translation Quality: Pedagogical Insights into Translation Problems,Safiah Ali M. Asiri;Amal Abdelsattar Metwally,Journal of Language Teaching and Research,2020,test,book;scholarly article,saudi arabia,arabic;english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1007/s10993-025-09730-0,Agency in muda processes: transforming subjectivities and linguistic practices in the Basque context,Jone Goirigolzarri-Garaizar;Ane Ortega;Estibaliz Amorrortu ,Language Policy,2025,government record;observation;interview;field note,scholarly article,spain,basque,bilbao,in paper,n/a,n/a,Springer Nature;Ministerio de Ciencia e Innovación;Viceministry of Language Policy;Basque Government 
https://doi.org/10.1007/s10993-024-09687-6,Language revitalization through a social movement lens: grassroots Galician language activism,Bernadette O’Rourke;Alejandro Dayán-Fernández ,Language Policy,2024,interview;observation,scholarly article,spain,galician,north-western spain,in paper,n/a,n/a,Smithsonian Institute for Folklife and Heritage;British Academy 
https://doi.org/10.1007/s10993-023-09656-5,“What is language for us?”: Community-based Anishinaabemowin language planning using TEK-nology,Paul Meighan,Language Policy,2023,government record;interview;survey;field note,scholarly article,america;canada,anishinaabemowin,ketegaunseebee,in paper,n/a,n/a,The International Research Foundation for English Language Education;Social Sciences and Humanities Research Council of Canada 
https://doi.org/10.1016/j.cogdev.2024.101488,"Assessment of vocabulary comprehension in Bilingual Qom - Spanish Indigenous children in Northern Argentina: Evidence for education, language preservation, and psycholinguistic theory",Celia Rosemberg;Gladys Ojea;Florencia Alam;Leandro Garber;Alejandra Stein;Carla De Benedictis;Donna Jackson-Maldonado;Margaret Friend,Cognitive Development,2024,experiment;government record;interview,dataset;observation,argentina,spanish;qom,chaco,in paper and si,n/a,n/a,National Scientific and Technical Research Council;National Agency for the Promotion of Research;Technological Development and Innovation;Argentina
